,segment_idx,excluded,n_rpeaks_noisy,n_RRI_detected,n_RRI_suprathresh,suprathresh_RRI_values,notes
238,238,False,0.0,366.0,0.0,[],
239,239,False,4.0,364.0,13.0,"[ 785.  1532.5  762.5  777.5 1562.5  792.5  797.5 1597.5  800.   982.5
  487.5  327.5  817.5]",
240,240,False,1.0,379.0,6.0,[1117.5  505.   542.5 1010.   547.5  937.5],
241,241,False,0.0,381.0,11.0,"[ 755.   250.   512.5  457.5  287.5  760.   525.   305.   825.   550.
 1037.5]",
242,242,False,3.0,361.0,6.0,[ 892.5  265.   567.5  852.5 2000.   545. ],
243,243,False,4.0,369.0,5.0,[ 685.  1725.   805.   557.5  942.5],
244,244,False,1.0,395.0,1.0,[1265.],
245,245,False,2.0,398.0,2.0,[482.5 957.5],
246,246,False,0.0,359.0,5.0,[ 527.5  315.   847.5  655.  1055. ],
247,247,False,0.0,338.0,0.0,[],
248,248,False,0.0,340.0,2.0,[ 642.5 1052.5],
249,249,False,1.0,359.0,6.0,[805.  290.  502.5 840.  305.  525. ],
250,250,False,0.0,351.0,0.0,[],
251,251,False,1.0,351.0,3.0,[ 820.  1677.5  847.5],
252,252,False,0.0,349.0,0.0,[],
253,253,False,0.0,351.0,0.0,[],
254,254,False,1.0,346.0,3.0,[ 770.  1550.   767.5],
255,255,False,0.0,332.0,0.0,[],
256,256,False,0.0,335.0,2.0,[ 537.5 1150. ],
257,257,False,0.0,333.0,0.0,[],
258,258,False,5.0,339.0,12.0,"[ 457.5  395.   855.   855.  1412.5  777.5  395.   375.   760.   822.5
 1637.5  825. ]",
259,259,False,14.0,448.0,103.0,"[ 790.  1567.5  775.   450.   737.5 4867.5  297.5  250.   362.5  747.5
  755.   397.5  730.   752.5  752.5  747.5  360.   735.   372.5  280.
  252.5  455.   220.   445.   220.   462.5  242.5  470.   242.5  482.5
  255.   475.   470.   235.   485.   222.5  392.5  485.   245.   252.5
  495.   467.5  245.   475.   240.   237.5  507.5  237.5  242.5  465.
  490.   210.   240.   455.   500.   222.5  485.   237.5  497.5  245.
  452.5  442.5  427.5  432.5  405.   202.5  527.5  207.5  230.   470.
  232.5  475.   250.   237.5  495.   230.   257.5  260.   475.   257.5
  740.   245.   505.   262.5  472.5  742.5  247.5  495.   965.   472.5
  960.   452.5  280.   732.5  417.5  307.5 1662.5  497.5  475.   945.
  757.5  275.   730. ]",
260,260,False,11.0,437.0,34.0,"[ 820.   425.   927.5  305.   497.5 1387.5  957.5  417.5  727.5  372.5
  660.   265.   392.5  370.   292.5  672.5  650.  1302.5  395.   325.
  657.5 2615.   942.5  372.5 1115.   462.5  835.   657.5  317.5  330.
  650.   272.5  420.   895. ]",
261,261,False,0.0,399.0,1.0,[1240.],
262,262,False,1.0,397.0,4.0,[512.5 972.5 567.5 950. ],
263,263,False,1.0,397.0,9.0,[ 420.   312.5  735.   752.5 1520.   765.   480.   265.   757.5],
264,264,False,0.0,385.0,0.0,[],
265,265,False,27.0,374.0,15.0,"[ 802.5 5280.   787.5  772.5  390.   400.   767.5  395.   382.5  775.
  280.   817.5  322.5  407.5  915. ]",
266,266,False,2.0,365.0,7.0,[ 775.   282.5  492.5 1267.5  745.  1485.   757.5],
267,267,False,0.0,345.0,0.0,[],
268,268,False,1.0,354.0,8.0,[ 490.   267.5  762.5  780.  2097.5  770.   595.   965. ],
269,269,False,2.0,405.0,21.0,"[775.  267.5 500.  482.5 280.  772.5 852.5 715.  290.  430.  730.  267.5
 457.5 545.  920.  720.  267.5 450.  837.5 465.  935. ]",
270,270,False,0.0,416.0,11.0,[735.  272.5 455.  410.  307.5 710.  717.5 302.5 427.5 535.  935. ],
271,271,False,8.0,391.0,13.0,"[ 762.5  360.   402.5  757.5  972.5  732.5 1505.   742.5  752.5 2207.5
  725.   460.   977.5]",
272,272,False,0.0,375.0,0.0,[],
273,273,False,2.0,388.0,13.0,"[755.  290.  467.5 490.  272.5 762.5 302.5 745.  345.  742.5 475.  265.
 740. ]",
274,274,False,0.0,382.0,5.0,[ 567.5 1002.5  507.5  287.5  790. ],
275,275,False,1.0,376.0,11.0,"[1355.   785.   287.5  485.  1560.   775.   762.5  260.   507.5  570.
  980. ]",
276,276,False,2.0,355.0,0.0,[],
277,277,False,0.0,345.0,0.0,[],
278,278,False,3.0,369.0,6.0,[1105.   600.   987.5  815.  1600.   805. ],
279,279,False,1.0,358.0,5.0,[ 747.5 1487.5  732.5  617.5  985. ],
280,280,False,2.0,368.0,12.0,[740.  327.5 830.  400.  837.5 847.5 395.  450.  835.  415.  415.  830. ],
281,281,False,1.0,351.0,0.0,[],
282,282,False,0.0,351.0,3.0,[852.5 407.5 447.5],
283,283,False,0.0,359.0,0.0,[],
284,284,False,0.0,363.0,0.0,[],
285,285,False,0.0,369.0,0.0,[],
286,286,False,0.0,367.0,0.0,[],
287,287,False,0.0,366.0,0.0,[],
288,288,False,0.0,365.0,0.0,[],
289,289,False,0.0,369.0,0.0,[],
290,290,False,2.0,367.0,8.0,[1067.5  557.5  802.5 1605.   807.5 1172.5  442.5  802.5],
291,291,False,2.0,373.0,7.0,[ 547.5  307.5  852.5 1055.   235.   270.   777.5],
292,292,False,3.0,379.0,8.0,[ 790.   420.   367.5 1407.5  465.  1005.   557.5  950. ],
293,293,False,2.0,383.0,3.0,[782.5 342.5 435. ],
294,294,False,0.0,376.0,4.0,[792.5 375.  412.5 802.5],
295,295,False,0.0,368.0,0.0,[],
296,296,False,5.0,381.0,16.0,"[ 540.   945.   752.5 1510.   760.   482.5 1062.5  500.   270.   772.5
  485.   277.5  747.5  600.   300.   770. ]",
297,297,True,24.0,,,,No rpeaks left after noisy rpeaks removed
298,298,True,,,,,Less than 3 IMFs were produced by EMD
299,299,True,,,,,Less than 3 IMFs were produced by EMD
300,300,True,,,,,Less than 3 IMFs were produced by EMD
301,301,True,,,,,Less than 3 IMFs were produced by EMD
302,302,True,,,,,Less than 3 IMFs were produced by EMD
303,303,True,,,,,Less than 3 IMFs were produced by EMD
